"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0319 Älvkarleby","2015",4043
"0319 Älvkarleby","2016",4119
"0319 Älvkarleby","2017",4121
"0330 Knivsta","2008",7427
"0330 Knivsta","2009",7402
"0330 Knivsta","2010",7606
"0330 Knivsta","2011",7831
"0330 Knivsta","2012",7951
"0330 Knivsta","2013",8050
"0330 Knivsta","2014",8393
"0330 Knivsta","2015",8815
"0330 Knivsta","2016",9072
"0330 Knivsta","2017",9381
"0331 Heby","2008",6165
"0331 Heby","2009",5968
"0331 Heby","2010",6091
"0331 Heby","2011",6285
"0331 Heby","2012",6315
"0331 Heby","2013",6379
"0331 Heby","2014",6356
"0331 Heby","2015",6467
"0331 Heby","2016",6571
"0331 Heby","2017",6649
"0360 Tierp","2008",9141
"0360 Tierp","2009",8658
"0360 Tierp","2010",8900
"0360 Tierp","2011",9220
"0360 Tierp","2012",9384
"0360 Tierp","2013",9294
"0360 Tierp","2014",9377
"0360 Tierp","2015",9463
"0360 Tierp","2016",9631
"0360 Tierp","2017",9817
"0380 Uppsala","2008",93339
"0380 Uppsala","2009",92097
"0380 Uppsala","2010",95128
"0380 Uppsala","2011",96936
"0380 Uppsala","2012",99398
"0380 Uppsala","2013",100770
"0380 Uppsala","2014",101700
"0380 Uppsala","2015",103592
"0380 Uppsala","2016",106689
"0380 Uppsala","2017",109137
"0381 Enköping","2008",18885
"0381 Enköping","2009",18614
"0381 Enköping","2010",19030
"0381 Enköping","2011",19663
"0381 Enköping","2012",20101
"0381 Enköping","2013",20184
"0381 Enköping","2014",20466
"0381 Enköping","2015",20990
"0381 Enköping","2016",21476
"0381 Enköping","2017",21951
"0382 Östhammar","2008",10453
"0382 Östhammar","2009",10235
"0382 Östhammar","2010",10268
"0382 Östhammar","2011",10532
"0382 Östhammar","2012",10546
"0382 Östhammar","2013",10638
"0382 Östhammar","2014",10550
"0382 Östhammar","2015",10586
"0382 Östhammar","2016",10716
"0382 Östhammar","2017",10757
"0428 Vingåker","2008",4025
"0428 Vingåker","2009",3854
"0428 Vingåker","2010",3890
"0428 Vingåker","2011",3955
"0428 Vingåker","2012",3894
"0428 Vingåker","2013",3833
"0428 Vingåker","2014",3853
"0428 Vingåker","2015",3911
"0428 Vingåker","2016",3945
"0428 Vingåker","2017",4010
"0461 Gnesta","2008",4972
"0461 Gnesta","2009",4881
"0461 Gnesta","2010",4952
"0461 Gnesta","2011",5032
"0461 Gnesta","2012",5080
"0461 Gnesta","2013",5069
"0461 Gnesta","2014",5131
"0461 Gnesta","2015",5201
"0461 Gnesta","2016",5279
"0461 Gnesta","2017",5355
"0480 Nyköping","2008",24198
"0480 Nyköping","2009",23254
"0480 Nyköping","2010",23988
"0480 Nyköping","2011",24654
"0480 Nyköping","2012",24750
"0480 Nyköping","2013",25088
"0480 Nyköping","2014",25089
"0480 Nyköping","2015",25504
"0480 Nyköping","2016",25753
"0480 Nyköping","2017",26130
"0481 Oxelösund","2008",5107
"0481 Oxelösund","2009",4782
"0481 Oxelösund","2010",4901
"0481 Oxelösund","2011",5060
"0481 Oxelösund","2012",4993
"0481 Oxelösund","2013",5051
"0481 Oxelösund","2014",5011
"0481 Oxelösund","2015",5030
"0481 Oxelösund","2016",5037
"0481 Oxelösund","2017",5086
"0482 Flen","2008",6878
"0482 Flen","2009",6622
"0482 Flen","2010",6627
"0482 Flen","2011",6669
"0482 Flen","2012",6626
"0482 Flen","2013",6645
"0482 Flen","2014",6523
"0482 Flen","2015",6506
"0482 Flen","2016",6612
"0482 Flen","2017",6686
"0483 Katrineholm","2008",14276
"0483 Katrineholm","2009",13757
"0483 Katrineholm","2010",14005
"0483 Katrineholm","2011",14305
"0483 Katrineholm","2012",14251
"0483 Katrineholm","2013",14414
"0483 Katrineholm","2014",14518
"0483 Katrineholm","2015",14658
"0483 Katrineholm","2016",14801
"0483 Katrineholm","2017",15154
"0484 Eskilstuna","2008",43139
"0484 Eskilstuna","2009",40590
"0484 Eskilstuna","2010",41814
"0484 Eskilstuna","2011",42935
"0484 Eskilstuna","2012",43482
"0484 Eskilstuna","2013",44008
"0484 Eskilstuna","2014",44008
"0484 Eskilstuna","2015",44710
"0484 Eskilstuna","2016",45797
"0484 Eskilstuna","2017",46696
"0486 Strängnäs","2008",15223
"0486 Strängnäs","2009",14938
"0486 Strängnäs","2010",15299
"0486 Strängnäs","2011",15634
"0486 Strängnäs","2012",15878
"0486 Strängnäs","2013",16038
"0486 Strängnäs","2014",16135
"0486 Strängnäs","2015",16302
"0486 Strängnäs","2016",16579
"0486 Strängnäs","2017",16837
"0488 Trosa","2008",5723
"0488 Trosa","2009",5640
"0488 Trosa","2010",5686
"0488 Trosa","2011",5768
"0488 Trosa","2012",5766
"0488 Trosa","2013",5788
"0488 Trosa","2014",5828
"0488 Trosa","2015",5926
"0488 Trosa","2016",6076
"0488 Trosa","2017",6303
"0509 Ödeshög","2008",2438
"0509 Ödeshög","2009",2337
"0509 Ödeshög","2010",2353
"0509 Ödeshög","2011",2459
"0509 Ödeshög","2012",2460
"0509 Ödeshög","2013",2422
"0509 Ödeshög","2014",2426
"0509 Ödeshög","2015",2422
"0509 Ödeshög","2016",2463
"0509 Ödeshög","2017",2463
"0512 Ydre","2008",1859
"0512 Ydre","2009",1763
"0512 Ydre","2010",1794
"0512 Ydre","2011",1835
"0512 Ydre","2012",1806
"0512 Ydre","2013",1788
"0512 Ydre","2014",1759
"0512 Ydre","2015",1744
"0512 Ydre","2016",1751
"0512 Ydre","2017",1813
"0513 Kinda","2008",4614
"0513 Kinda","2009",4463
"0513 Kinda","2010",4525
"0513 Kinda","2011",4735
"0513 Kinda","2012",4696
"0513 Kinda","2013",4685
"0513 Kinda","2014",4663
"0513 Kinda","2015",4624
"0513 Kinda","2016",4686
"0513 Kinda","2017",4732
"0560 Boxholm","2008",2487
"0560 Boxholm","2009",2398
"0560 Boxholm","2010",2444
"0560 Boxholm","2011",2517
"0560 Boxholm","2012",2483
"0560 Boxholm","2013",2521
"0560 Boxholm","2014",2536
"0560 Boxholm","2015",2526
"0560 Boxholm","2016",2563
"0560 Boxholm","2017",2588
"0561 Åtvidaberg","2008",5271
"0561 Åtvidaberg","2009",5058
"0561 Åtvidaberg","2010",5209
"0561 Åtvidaberg","2011",5276
"0561 Åtvidaberg","2012",5280
"0561 Åtvidaberg","2013",5333
"0561 Åtvidaberg","2014",5310
"0561 Åtvidaberg","2015",5344
"0561 Åtvidaberg","2016",5452
"0561 Åtvidaberg","2017",5486
"0562 Finspång","2008",9576
"0562 Finspång","2009",9372
"0562 Finspång","2010",9571
"0562 Finspång","2011",9688
"0562 Finspång","2012",9708
"0562 Finspång","2013",9558
"0562 Finspång","2014",9406
"0562 Finspång","2015",9454
"0562 Finspång","2016",9692
"0562 Finspång","2017",9852
"0563 Valdemarsvik","2008",3564
"0563 Valdemarsvik","2009",3372
"0563 Valdemarsvik","2010",3421
"0563 Valdemarsvik","2011",3418
"0563 Valdemarsvik","2012",3421
"0563 Valdemarsvik","2013",3422
"0563 Valdemarsvik","2014",3430
"0563 Valdemarsvik","2015",3447
"0563 Valdemarsvik","2016",3458
"0563 Valdemarsvik","2017",3497
"0580 Linköping","2008",65757
"0580 Linköping","2009",64450
"0580 Linköping","2010",66389
"0580 Linköping","2011",67685
"0580 Linköping","2012",68655
"0580 Linköping","2013",70032
"0580 Linköping","2014",71060
"0580 Linköping","2015",72528
"0580 Linköping","2016",74977
"0580 Linköping","2017",76640
"0581 Norrköping","2008",57819
"0581 Norrköping","2009",56398
"0581 Norrköping","2010",58237
"0581 Norrköping","2011",59341
"0581 Norrköping","2012",60090
"0581 Norrköping","2013",60815
"0581 Norrköping","2014",61156
"0581 Norrköping","2015",62567
"0581 Norrköping","2016",64263
"0581 Norrköping","2017",65841
"0582 Söderköping","2008",6709
"0582 Söderköping","2009",6592
"0582 Söderköping","2010",6669
"0582 Söderköping","2011",6759
"0582 Söderköping","2012",6793
"0582 Söderköping","2013",6869
"0582 Söderköping","2014",6841
"0582 Söderköping","2015",6915
"0582 Söderköping","2016",6993
"0582 Söderköping","2017",7097
"0583 Motala","2008",18604
"0583 Motala","2009",17781
"0583 Motala","2010",17914
"0583 Motala","2011",18250
"0583 Motala","2012",18446
"0583 Motala","2013",18754
"0583 Motala","2014",18922
"0583 Motala","2015",19205
"0583 Motala","2016",19485
"0583 Motala","2017",19681
"0584 Vadstena","2008",3353
"0584 Vadstena","2009",3263
"0584 Vadstena","2010",3250
"0584 Vadstena","2011",3321
"0584 Vadstena","2012",3315
"0584 Vadstena","2013",3324
"0584 Vadstena","2014",3312
"0584 Vadstena","2015",3316
"0584 Vadstena","2016",3286
"0584 Vadstena","2017",3316
"0586 Mjölby","2008",12089
"0586 Mjölby","2009",11714
"0586 Mjölby","2010",11920
"0586 Mjölby","2011",12344
"0586 Mjölby","2012",12513
"0586 Mjölby","2013",12616
"0586 Mjölby","2014",12667
"0586 Mjölby","2015",12795
"0586 Mjölby","2016",13111
"0586 Mjölby","2017",13271
"0604 Aneby","2008",3231
"0604 Aneby","2009",3098
"0604 Aneby","2010",3143
"0604 Aneby","2011",3259
"0604 Aneby","2012",3256
"0604 Aneby","2013",3275
"0604 Aneby","2014",3291
"0604 Aneby","2015",3308
"0604 Aneby","2016",3346
"0604 Aneby","2017",3413
"0617 Gnosjö","2008",5154
"0617 Gnosjö","2009",4693
"0617 Gnosjö","2010",4849
"0617 Gnosjö","2011",4909
"0617 Gnosjö","2012",4831
"0617 Gnosjö","2013",4817
"0617 Gnosjö","2014",4800
"0617 Gnosjö","2015",4808
"0617 Gnosjö","2016",4919
"0617 Gnosjö","2017",5042
"0642 Mullsjö","2008",3471
"0642 Mullsjö","2009",3278
"0642 Mullsjö","2010",3378
"0642 Mullsjö","2011",3434
"0642 Mullsjö","2012",3423
"0642 Mullsjö","2013",3379
"0642 Mullsjö","2014",3399
"0642 Mullsjö","2015",3424
"0642 Mullsjö","2016",3452
"0642 Mullsjö","2017",3531
"0643 Habo","2008",5494
"0643 Habo","2009",5388
"0643 Habo","2010",5481
"0643 Habo","2011",5587
"0643 Habo","2012",5644
"0643 Habo","2013",5608
"0643 Habo","2014",5636
"0643 Habo","2015",5734
"0643 Habo","2016",5864
"0643 Habo","2017",5952
"0662 Gislaved","2008",14921
"0662 Gislaved","2009",13662
"0662 Gislaved","2010",14052
"0662 Gislaved","2011",14457
"0662 Gislaved","2012",14355
"0662 Gislaved","2013",14275
"0662 Gislaved","2014",14226
"0662 Gislaved","2015",14246
"0662 Gislaved","2016",14587
"0662 Gislaved","2017",14801
"0665 Vaggeryd","2008",6614
